frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
74,37,preskin,1000,0,0.60655737,12.1194,0.2994,0.3639,0.04488,3.28044,7.19072,0.347,0.0091,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1209,107448
75,37,baseline,1000,0,0.60655737,15.4207,0.3215,0.0386,0.00604,3.96176,10.0942,0,0.0154,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.036,0.3491,214896,0,0,0
76,38,baseline,1000,0,0.6229508,15.2463,0.3402,0.0382,0.00612,4.02,9.84804,0,0.0127,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0321,0.3635,214896,0,0,0
77,38,preskin,1000,0,0.6229508,13.0887,0.3397,0.4269,0.04792,3.63232,7.68956,0.4064,0.012799999999999999,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1317,107448
78,39,preskin,1000,0,0.6393443,13.007,0.336,0.3978,0.04544,3.3644,7.81548,0.3794,0.0109,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1345,107448
79,39,baseline,1000,0,0.6393443,15.9648,0.3393,0.0526,0.00596,4.02528,10.67092,0,0.0285,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.037,0.3356,214896,0,0,0
80,40,baseline,1000,0,0.6557377,17.5953,0.3547,0.0418,0.00716,4.9586,11.35656,0,0.0162,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0415,0.3812,214896,0,0,0
81,40,preskin,1000,0,0.6557377,14.3122,0.3434,0.4236,0.05648,4.35292,8.2394,0.4047,0.011200000000000002,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1458,107448
82,41,preskin,1000,0,0.6721311,12.2517,0.3119,0.3838,0.04524,3.34368,7.24116,0.3668,0.009899999999999999,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1164,107448
83,41,baseline,1000,0,0.6721311,16.0802,0.3053,0.0436,0.00632,4.10012,10.79768,0,0.0138,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0271,0.327,214896,0,0,0
84,42,baseline,1000,0,0.6885246,18.1936,0.3384,0.0371,0.00728,5.28912,11.49968,0,0.0115,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0345,0.4418,214896,0,0,0
85,42,preskin,1000,0,0.6885246,14.0201,0.3392,0.4191,0.05348,3.83736,7.48768,0.4,0.0111,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1314,107448
86,43,preskin,1000,0,0.704918,12.056,0.3136,0.3738,0.04428,3.25988,7.17584,0.3424,0.0241,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1146,107448
87,43,baseline,1000,0,0.704918,15.8482,0.2933,0.0364,0.006,3.95876,10.6924,0,0.014199999999999999,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0348,0.3366,214896,0,0,0
88,44,baseline,1000,0,0.72131145,17.5743,0.3391,0.0363,0.0072,4.8616,11.2326,0,0.0114,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0312,0.3812,214896,0,0,0
89,44,preskin,1000,0,0.72131145,13.1496,0.3654,0.4105,0.0538,3.76668,7.53112,0.3913,0.0115,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1276,107448
90,45,preskin,1000,0,0.73770493,11.7212,0.3037,0.3704,0.04256,3.27764,6.76868,0.3544,0.0091,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1302,107448
91,45,baseline,1000,0,0.73770493,15.786,0.285,0.0316,0.00312,4.028,10.63224,0,0.01,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0308,0.3819,214896,0,0,0
92,46,baseline,1000,0,0.75409836,17.468,0.352,0.0409,0.0072,5.24984,10.86708,0,0.0159,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0381,0.3294,214896,0,0,0
93,46,preskin,1000,0,0.75409836,12.1049,0.4469,0.6259,0.04368,3.21468,6.80528,0.6006,0.0128,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.2302,107448
94,47,preskin,1000,0,0.7704918,12.2478,0.3127,0.452,0.04276,3.26556,7.25192,0.4352,0.01,49152,322344,1,1000,6,6000,1000,6,6000,0,0,0,0,0,0,0,0.1394,107448
95,47,baseline,1000,0,0.7704918,15.2282,0.3134,0.0375,0.00596,3.87796,9.99328,0,0.0121,49152,0,0,1000,6,6000,1000,6,6000,0,0,0,0.0385,0.3788,214896,0,0,0
