frame,pair,mode,count,warmup,normalized_time,total_sync_ms,submission_cpu_ms,prep_cpu_ms,prep_gpu_interval_ms,shadow_gpu_ms,main_gpu_ms,preskin_cpu_upload_ms,texture_upload_cpu_ms,texture_upload_bytes,geometry_upload_bytes,preskin_calls,main_instances,main_draws,main_mesh_instances,shadow_instances,shadow_draws,shadow_mesh_instances,alloc_bytes,gen0,gen1,restore_submit_ms,restore_drain_ms,restore_bytes,restore_alloc_bytes,normal_correction_cpu_upload_ms,normal_correction_upload_bytes
99,49,baseline,5000,0,0.8032787,78.1528,1.9373,0.0949,0.00952,25.73928,48.22416,0,0.0348,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0573,0.4111,214896,0,0,0
100,50,baseline,5000,0,0.8196721,77.1121,2.0313,0.097,0.00972,25.28488,47.65608,0,0.0366,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0505,0.3843,214896,0,0,0
101,50,preskin,5000,0,0.8196721,53.461,1.8523,0.5317,0.06188,15.40368,33.90916,0.4784,0.027200000000000002,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1837,107448
102,51,preskin,5000,0,0.8360656,50.8027,1.8212,0.3224,0.06076,15.76592,31.27872,0.2883,0.0159,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.098,107448
103,51,baseline,5000,0,0.8360656,71.7908,1.7537,0.0791,0.00956,23.1222,44.97132,0,0.0314,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0521,0.3493,214896,0,0,0
104,52,baseline,5000,0,0.852459,68.8726,1.472,0.0709,0.00704,20.20084,45.46292,0,0.0246,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0448,0.3967,214896,0,0,0
105,52,preskin,5000,0,0.852459,51.8474,1.7971,0.453,0.05916,15.6652,32.52516,0.4136,0.0198,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.147,107448
106,53,preskin,5000,0,0.86885244,50.8985,1.4069,0.4362,0.05956,15.27348,31.77476,0.3929,0.018099999999999998,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1324,107448
107,53,baseline,5000,0,0.86885244,68.0286,1.388,0.0553,0.00704,20.01588,44.88336,0,0.015300000000000001,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0319,0.3511,214896,0,0,0
108,54,baseline,5000,0,0.8852459,68.7581,1.4869,0.0724,0.00724,20.56492,45.02044,0,0.025500000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0638,0.5192,214896,0,0,0
109,54,preskin,5000,0,0.8852459,52.3534,2.1733,0.5401,0.06096,15.24584,32.89836,0.4896,0.0183,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1873,107448
110,55,preskin,5000,0,0.90163934,52.8219,1.906,0.4501,0.05908,15.107,33.75784,0.4029,0.0183,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1566,107448
111,55,baseline,5000,0,0.90163934,72.8967,1.3407,0.0658,0.00684,22.38392,47.66876,0,0.023700000000000002,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0397,0.3631,214896,0,0,0
112,56,baseline,5000,0,0.91803277,73.4056,1.5957,0.0609,0.00972,21.8762,48.06988,0,0.0193,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0396,0.3555,214896,0,0,0
113,56,preskin,5000,0,0.91803277,50.1987,1.8036,0.6092,0.0618,15.14732,30.9234,0.5514,0.024,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.2094,107448
114,57,preskin,5000,0,0.93442625,49.6156,1.3951,0.4466,0.06036,15.25724,30.92104,0.4021,0.0184,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1507,107448
115,57,baseline,5000,0,0.93442625,72.283,1.3772,0.0626,0.00676,21.01224,47.93048,0,0.0199,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0457,0.3318,214896,0,0,0
116,58,baseline,5000,0,0.9508197,71.8987,1.4328,0.0775,0.00688,22.361,46.30912,0,0.0316,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0501,0.3937,214896,0,0,0
117,58,preskin,5000,0,0.9508197,51.6352,1.557,0.4911,0.0596,15.04664,32.96728,0.4373,0.027999999999999997,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1658,107448
118,59,preskin,5000,0,0.9672131,51.2152,1.3699,0.5024,0.05288,15.2434,32.60552,0.4053,0.07050000000000001,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1657,107448
119,59,baseline,5000,0,0.9672131,69.426,1.3925,0.061,0.00708,19.92832,46.20144,0,0.02,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0344,0.4018,214896,0,0,0
120,60,baseline,5000,0,0.9836066,69.3417,1.537,0.0856,0.00708,20.95868,45.073,0,0.027299999999999998,180224,0,0,5000,6,30000,5000,6,30000,0,0,0,0.0463,0.4313,214896,0,0,0
121,60,preskin,5000,0,0.9836066,52.4488,1.6221,0.4649,0.06016,15.40468,33.16312,0.4148,0.023,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1615,107448
122,61,preskin,5000,0,1,53.2563,1.4628,0.4889,0.06088,15.78708,33.84516,0.4385,0.0224,180224,322344,1,5000,6,30000,5000,6,30000,0,0,0,0,0,0,0,0.1488,107448
